01+0106. 02+0249. 03+0640. 04+12.70  05-6999.  06+11.43 
01+0106. 02+0249. 03+0650. 04+12.73  05-6999.  06+11.42 
01+0106. 02+0249. 03+0700. 04+12.76  05-6999.  06+11.42 
01+0106. 02+0249. 03+0710. 04+12.80  05-6999.  06+11.42 
01+0106. 02+0249. 03+0720. 04+12.78  05-6999.  06+11.41 
01+0106. 02+0249. 03+0730. 04+12.81  05-6999.  06+11.40 
01+0106. 02+0249. 03+0740. 04+12.80  05-6999.  06+11.39 
01+0106. 02+0249. 03+0750. 04+12.87  05-6999.  06+11.40 
01+0106. 02+0249. 03+0800. 04+12.94  05-6999.  06+11.39 
01+0106. 02+0249. 03+0810. 04+13.06  05-6999.  06+11.38 
01+0106. 02+0249. 03+0820. 04+13.12  05-6999.  06+11.38 
01+0106. 02+0249. 03+0830. 04+12.95  05-6999.  06+11.38 
01+0106. 02+0249. 03+0840. 04+12.86  05-6999.  06+11.39 
01+0106. 02+0249. 03+0850. 04+12.81  05-6999.  06+11.39 
01+0106. 02+0249. 03+0900. 04+12.77  05-6999.  06+11.38 
01+0106. 02+0249. 03+0910. 04+12.75  05-6999.  06+11.38 
01+0106. 02+0249. 03+0920. 04+12.73  05-6999.  06+11.38 
01+0106. 02+0249. 03+0930. 04+12.73  05-6999.  06+11.38 
01+0106. 02+0249. 03+0940. 04+12.72  05-6999.  06+11.37 
01+0106. 02+0249. 03+0950. 04+12.73  05-6999.  06+11.37 
01+0106. 02+0249. 03+1000. 04+12.73  05-6999.  06+11.39 
01+0106. 02+0249. 03+1010. 04+12.74  05-6999.  06+11.37 
01+0106. 02+0249. 03+1020. 04+12.83  05-6999.  06+11.38 
01+0106. 02+0249. 03+1030. 04+12.82  05-6999.  06+11.38 
01+0106. 02+0249. 03+1040. 04+12.80  05-6999.  06+11.38 
01+0106. 02+0249. 03+1050. 04+12.80  05-6999.  06+11.38 
01+0106. 02+0249. 03+1100. 04+12.80  05-6999.  06+11.38 
01+0106. 02+0249. 03+1110. 04+12.80  05-6999.  06+11.39 
01+0106. 02+0249. 03+1120. 04+12.82  05-6999.  06+11.38 
01+0106. 02+0249. 03+1130. 04+12.84  05-6999.  06+11.38 
01+0106. 02+0249. 03+1140. 04+12.86  05-6999.  06+11.38 
01+0106. 02+0249. 03+1150. 04+12.91  05-6999.  06+11.38 
01+0106. 02+0249. 03+1200. 04+13.03  05-6999.  06+11.39 
01+0106. 02+0249. 03+1210. 04+13.55  05-6999.  06+11.38 
01+0106. 02+0249. 03+1220. 04+13.58  05-6999.  06+11.38 
01+0106. 02+0249. 03+1230. 04+13.62  05-6999.  06+11.38 
01+0106. 02+0249. 03+1240. 04+13.37  05-6999.  06+11.38 
01+0106. 02+0249. 03+1250. 04+13.88  05-6999.  06+11.38 
01+0106. 02+0249. 03+1300. 04+13.93  05-6999.  06+11.38 
01+0106. 02+0249. 03+1310. 04+13.59  05-6999.  06+11.38 
01+0106. 02+0249. 03+1320. 04+13.89  05-6999.  06+11.38 
01+0106. 02+0249. 03+1330. 04+13.76  05-6999.  06+11.38 
01+0106. 02+0249. 03+1340. 04+13.67  05-6999.  06+11.38 
01+0106. 02+0249. 03+1350. 04+13.59  05-6999.  06+11.38 
01+0106. 02+0249. 03+1400. 04+13.65  05-6999.  06+11.38 
01+0106. 02+0249. 03+1410. 04+13.74  05-6999.  06+11.38 
01+0106. 02+0249. 03+1420. 04+13.82  05-6999.  06+11.37 
01+0106. 02+0249. 03+1430. 04+13.53  05-6999.  06+11.37 
01+0106. 02+0249. 03+1440. 04+13.76  05-6999.  06+11.37 
01+0106. 02+0249. 03+1450. 04+13.59  05-6999.  06+11.38 
01+0106. 02+0249. 03+1500. 04+13.53  05-6999.  06+11.37 
01+0106. 02+0249. 03+1510. 04+13.43  05-6999.  06+11.37 
01+0106. 02+0249. 03+1520. 04+13.40  05-6999.  06+11.38 
01+0106. 02+0249. 03+1530. 04+13.29  05-6999.  06+11.38 
01+0106. 02+0249. 03+1540. 04+13.33  05-6999.  06+11.39 
01+0106. 02+0249. 03+1550. 04+13.48  05-6999.  06+11.38 
01+0106. 02+0249. 03+1600. 04+13.36  05-6999.  06+11.38 
01+0106. 02+0249. 03+1610. 04+13.20  05-6999.  06+11.38 
01+0106. 02+0249. 03+1620. 04+13.11  05-6999.  06+11.39 
01+0106. 02+0249. 03+1630. 04+13.10  05-6999.  06+11.39 
01+0106. 02+0249. 03+1640. 04+13.07  05-6999.  06+11.39 
01+0106. 02+0249. 03+1650. 04+13.02  05-6999.  06+11.40 
01+0106. 02+0249. 03+1700. 04+12.97  05-6999.  06+11.40 
01+0106. 02+0249. 03+1710. 04+12.95  05-6999.  06+11.40 
01+0106. 02+0249. 03+1720. 04+12.93  05-6999.  06+11.40 
01+0106. 02+0249. 03+1730. 04+12.92  05-6999.  06+11.41 
01+0106. 02+0249. 03+1740. 04+12.91  05-6999.  06+11.41 
01+0106. 02+0249. 03+1750. 04+12.91  05-6999.  06+11.41 
01+0106. 02+0249. 03+1800. 04+12.90  05-6999.  06+11.41 
01+0106. 02+0249. 03+1810. 04+12.90  05-6999.  06+11.41 
01+0106. 02+0249. 03+1820. 04+12.89  05-6999.  06+11.41 
01+0106. 02+0249. 03+1830. 04+12.89  05-6999.  06+11.41 
01+0106. 02+0249. 03+1840. 04+12.89  05-6999.  06+11.42 
01+0106. 02+0249. 03+1850. 04+12.89  05-6999.  06+11.41 
01+0106. 02+0249. 03+1900. 04+12.88  05-6999.  06+11.41 
01+0106. 02+0249. 03+1910. 04+12.87  05-6999.  06+11.42 
01+0106. 02+0249. 03+1920. 04+12.87  05-6999.  06+11.42 
01+0106. 02+0249. 03+1930. 04+12.87  05-6999.  06+11.42 
01+0106. 02+0249. 03+1940. 04+12.87  05-6999.  06+11.42 
01+0106. 02+0249. 03+1950. 04+12.86  05-6999.  06+11.42 
01+0106. 02+0249. 03+2000. 04+12.86  05-6999.  06+11.42 
01+0106. 02+0249. 03+2010. 04+12.86  05-6999.  06+11.42 
01+0106. 02+0249. 03+2020. 04+12.85  05-6999.  06+11.42 
