01+106.0  02+249.   03+640.   04+12.70  05-6999.  06+11.43 
01+106.0  02+249.   03+650.   04+12.73  05-6999.  06+11.42 
01+106.0  02+249.   03+700.   04+12.76  05-6999.  06+11.42 
01+106.0  02+249.   03+710.   04+12.80  05-6999.  06+11.42 
01+106.0  02+249.   03+720.   04+12.78  05-6999.  06+11.41 
01+106.0  02+249.   03+730.   04+12.81  05-6999.  06+11.40 
01+106.0  02+249.   03+740.   04+12.80  05-6999.  06+11.39 
01+106.0  02+249.   03+750.   04+12.87  05-6999.  06+11.40 
01+106.0  02+249.   03+800.   04+12.94  05-6999.  06+11.39 
01+106.0  02+249.   03+810.   04+13.06  05-6999.  06+11.38 
01+106.0  02+249.   03+820.   04+13.12  05-6999.  06+11.38 
01+106.0  02+249.   03+830.   04+12.95  05-6999.  06+11.38 
01+106.0  02+249.   03+840.   04+12.86  05-6999.  06+11.39 
01+106.0  02+249.   03+850.   04+12.81  05-6999.  06+11.39 
01+106.0  02+249.   03+900.   04+12.77  05-6999.  06+11.38 
01+106.0  02+249.   03+910.   04+12.75  05-6999.  06+11.38 
01+106.0  02+249.   03+920.   04+12.73  05-6999.  06+11.38 
01+106.0  02+249.   03+930.   04+12.73  05-6999.  06+11.38 
01+106.0  02+249.   03+940.   04+12.72  05-6999.  06+11.37 
01+106.0  02+249.   03+950.   04+12.73  05-6999.  06+11.37 
01+106.0  02+249.   03+1000.  04+12.73  05-6999.  06+11.39 
01+106.0  02+249.   03+1010.  04+12.74  05-6999.  06+11.37 
01+106.0  02+249.   03+1020.  04+12.83  05-6999.  06+11.38 
01+106.0  02+249.   03+1030.  04+12.82  05-6999.  06+11.38 
01+106.0  02+249.   03+1040.  04+12.80  05-6999.  06+11.38 
01+106.0  02+249.   03+1050.  04+12.80  05-6999.  06+11.38 
01+106.0  02+249.   03+1100.  04+12.80  05-6999.  06+11.38 
01+106.0  02+249.   03+1110.  04+12.80  05-6999.  06+11.39 
01+106.0  02+249.   03+1120.  04+12.82  05-6999.  06+11.38 
01+106.0  02+249.   03+1130.  04+12.84  05-6999.  06+11.38 
01+106.0  02+249.   03+1140.  04+12.86  05-6999.  06+11.38 
